




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	TAGs_low.txt (7661)	TAGs_low.txt (expected)	TAGs_low.txt (over/under)	TAGs_low.txt (fold Enrichment)	TAGs_low.txt (raw P-value)	TAGs_low.txt (FDR)
calcium ion transmembrane import into cytosol (GO:0097553)	15	13	2.06	+	6.32	4.82E-10	1.27E-08
negative regulation of sequestering of calcium ion (GO:0051283)	15	13	2.06	+	6.32	4.82E-10	1.25E-08
regulation of sequestering of calcium ion (GO:0051282)	15	13	2.06	+	6.32	4.82E-10	1.22E-08
release of sequestered calcium ion into cytosol (GO:0051209)	15	13	2.06	+	6.32	4.82E-10	1.20E-08
neutral amino acid transport (GO:0015804)	7	5	.96	+	5.21	7.99E-04	4.85E-03
glutathione metabolic process (GO:0006749)	87	59	11.93	+	4.94	9.17E-31	1.16E-28
extracellular matrix organization (GO:0030198)	27	18	3.70	+	4.86	3.91E-10	1.09E-08
extracellular structure organization (GO:0043062)	27	18	3.70	+	4.86	3.91E-10	1.07E-08
defense response to bacterium (GO:0042742)	38	25	5.21	+	4.80	2.26E-13	1.02E-11
response to bacterium (GO:0009617)	38	25	5.21	+	4.80	2.26E-13	9.86E-12
developmental cell growth (GO:0048588)	10	6	1.37	+	4.37	8.49E-04	5.08E-03
cell development (GO:0048468)	10	6	1.37	+	4.37	8.49E-04	5.06E-03
cell surface receptor signaling pathway (GO:0007166)	41	24	5.62	+	4.27	2.65E-11	8.60E-10
jasmonic acid metabolic process (GO:0009694)	24	13	3.29	+	3.95	3.39E-06	3.97E-05
response to external biotic stimulus (GO:0043207)	271	141	37.17	+	3.79	7.98E-51	5.57E-48
response to other organism (GO:0051707)	271	141	37.17	+	3.79	7.98E-51	3.71E-48
response to biotic stimulus (GO:0009607)	271	141	37.17	+	3.79	7.98E-51	2.78E-48
defense response to other organism (GO:0098542)	271	141	37.17	+	3.79	7.98E-51	2.23E-48
long-chain fatty acid metabolic process (GO:0001676)	31	16	4.25	+	3.76	5.93E-07	8.26E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	280	141	38.41	+	3.67	1.36E-48	3.17E-46
negative regulation of catalytic activity (GO:0043086)	50	25	6.86	+	3.65	9.81E-10	2.36E-08
negative regulation of molecular function (GO:0044092)	50	25	6.86	+	3.65	9.81E-10	2.32E-08
external encapsulating structure organization (GO:0045229)	73	36	10.01	+	3.60	3.66E-13	1.55E-11
defense response (GO:0006952)	344	169	47.18	+	3.58	5.41E-56	7.54E-53
