




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
chloroplast inner membrane (GO:0009706)	31	31	20.99	+	1.48	7.68E-06	1.92E-05
RNA polymerase II, core complex (GO:0005665)	35	35	23.69	+	1.48	1.60E-06	4.32E-06
spliceosomal tri-snRNP complex (GO:0097526)	47	47	31.82	+	1.48	1.46E-08	4.72E-08
U4/U6 x U5 tri-snRNP complex (GO:0046540)	35	35	23.69	+	1.48	1.60E-06	4.29E-06
recycling endosome (GO:0055037)	24	24	16.25	+	1.48	1.08E-04	2.37E-04
endocytic vesicle (GO:0030139)	12	12	8.12	+	1.48	1.23E-02	1.99E-02
Set1C/COMPASS complex (GO:0048188)	15	15	10.15	+	1.48	4.22E-03	7.43E-03
clathrin-coated vesicle (GO:0030136)	64	64	43.33	+	1.48	1.71E-11	6.97E-11
actin filament (GO:0005884)	12	12	8.12	+	1.48	1.23E-02	1.98E-02
cytoplasmic microtubule (GO:0005881)	65	65	44.00	+	1.48	1.75E-11	7.02E-11
clathrin vesicle coat (GO:0030125)	30	30	20.31	+	1.48	1.31E-05	3.19E-05
cortical cytoskeleton (GO:0030863)	55	55	37.23	+	1.48	6.37E-10	2.31E-09
SWI/SNF complex (GO:0016514)	12	12	8.12	+	1.48	1.23E-02	1.98E-02
SMN-Sm protein complex (GO:0034719)	14	14	9.48	+	1.48	7.35E-03	1.25E-02
pICln-Sm protein complex (GO:0034715)	12	12	8.12	+	1.48	1.23E-02	1.97E-02
precatalytic spliceosome (GO:0071011)	53	53	35.88	+	1.48	1.90E-09	6.58E-09
chaperonin-containing T-complex (GO:0005832)	15	15	10.15	+	1.48	4.22E-03	7.40E-03
autophagosome (GO:0005776)	30	30	20.31	+	1.48	1.31E-05	3.17E-05
Golgi transport complex (GO:0017119)	16	16	10.83	+	1.48	2.52E-03	4.68E-03
NuA4 histone acetyltransferase complex (GO:0035267)	16	16	10.83	+	1.48	2.52E-03	4.66E-03
autophagosome membrane (GO:0000421)	13	13	8.80	+	1.48	1.33E-02	2.11E-02
preribosome, large subunit precursor (GO:0030687)	32	32	21.66	+	1.48	4.67E-06	1.19E-05
U6 snRNP (GO:0005688)	13	13	8.80	+	1.48	1.33E-02	2.10E-02
U4 snRNP (GO:0005687)	13	13	8.80	+	1.48	1.33E-02	2.09E-02
U5 snRNP (GO:0005682)	24	24	16.25	+	1.48	1.08E-04	2.36E-04
histone methyltransferase complex (GO:0035097)	21	21	14.22	+	1.48	5.50E-04	1.11E-03
EMC complex (GO:0072546)	21	21	14.22	+	1.48	5.50E-04	1.10E-03
Prp19 complex (GO:0000974)	21	21	14.22	+	1.48	5.50E-04	1.09E-03
Arp2/3 protein complex (GO:0005885)	17	17	11.51	+	1.48	2.69E-03	4.95E-03
DNA polymerase complex (GO:0042575)	19	19	12.86	+	1.48	8.65E-04	1.68E-03
clathrin-coated pit (GO:0005905)	36	36	24.37	+	1.48	9.76E-07	2.69E-06
late endosome membrane (GO:0031902)	20	20	13.54	+	1.48	5.20E-04	1.05E-03
COP9 signalosome (GO:0008180)	17	17	11.51	+	1.48	2.69E-03	4.93E-03
perinuclear region of cytoplasm (GO:0048471)	17	17	11.51	+	1.48	2.69E-03	4.90E-03
peroxisomal membrane (GO:0005778)	42	42	28.43	+	1.48	1.18E-07	3.47E-07
TRAPP complex (GO:0030008)	21	21	14.22	+	1.48	5.50E-04	1.09E-03
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	18	18	12.19	+	1.48	1.50E-03	2.84E-03
proteasome regulatory particle, lid subcomplex (GO:0008541)	21	21	14.22	+	1.48	5.50E-04	1.08E-03
protein folding chaperone complex (GO:0101031)	19	19	12.86	+	1.48	8.65E-04	1.68E-03
small-subunit processome (GO:0032040)	66	65	44.68	+	1.45	3.18E-10	1.17E-09
late endosome (GO:0005770)	58	57	39.27	+	1.45	6.60E-09	2.24E-08
nuclear pore (GO:0005643)	55	54	37.23	+	1.45	1.80E-08	5.70E-08
chloroplast membrane (GO:0031969)	50	49	33.85	+	1.45	1.36E-07	3.96E-07
nuclear ubiquitin ligase complex (GO:0000152)	41	40	27.76	+	1.44	4.82E-06	1.22E-05
endosome membrane (GO:0010008)	80	78	54.16	+	1.44	2.62E-11	1.04E-10
methyltransferase complex (GO:0034708)	38	37	25.73	+	1.44	1.24E-05	3.04E-05
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	37	36	25.05	+	1.44	2.17E-05	5.07E-05
kinetochore (GO:0000776)	37	36	25.05	+	1.44	2.17E-05	5.04E-05
U1 snRNP (GO:0005685)	35	34	23.69	+	1.43	3.26E-05	7.53E-05
anaphase-promoting complex (GO:0005680)	33	32	22.34	+	1.43	5.47E-05	1.24E-04
preribosome (GO:0030684)	129	125	87.33	+	1.43	1.49E-16	8.12E-16
RNA polymerase I complex (GO:0005736)	32	31	21.66	+	1.43	8.73E-05	1.93E-04
SCF ubiquitin ligase complex (GO:0019005)	95	92	64.31	+	1.43	1.85E-12	7.96E-12
exosome (RNase complex) (GO:0000178)	30	29	20.31	+	1.43	2.45E-04	5.03E-04
eukaryotic translation initiation factor 3 complex (GO:0005852)	30	29	20.31	+	1.43	2.45E-04	5.00E-04
transcription factor TFIID complex (GO:0005669)	29	28	19.63	+	1.43	2.37E-04	4.91E-04
Sm-like protein family complex (GO:0120114)	104	100	70.41	+	1.42	8.75E-13	3.81E-12
histone acetyltransferase complex (GO:0000123)	52	50	35.20	+	1.42	7.47E-07	2.08E-06
spliceosomal snRNP complex (GO:0097525)	92	88	62.28	+	1.41	6.44E-11	2.51E-10
small nuclear ribonucleoprotein complex (GO:0030532)	92	88	62.28	+	1.41	6.44E-11	2.48E-10
chromosome, centromeric region (GO:0000775)	45	43	30.46	+	1.41	8.25E-06	2.04E-05
supramolecular polymer (GO:0099081)	269	257	182.11	+	1.41	1.22E-29	1.08E-28
polymeric cytoskeletal fiber (GO:0099513)	269	257	182.11	+	1.41	1.22E-29	1.05E-28
supramolecular fiber (GO:0099512)	269	257	182.11	+	1.41	1.22E-29	1.03E-28
microtubule (GO:0005874)	257	245	173.99	+	1.41	8.69E-28	6.84E-27
nuclear envelope (GO:0005635)	85	81	57.54	+	1.41	6.81E-10	2.45E-09
SAGA-type complex (GO:0070461)	21	20	14.22	+	1.41	4.34E-03	7.57E-03
SAGA complex (GO:0000124)	21	20	14.22	+	1.41	4.34E-03	7.54E-03
condensed chromosome, centromeric region (GO:0000779)	40	38	27.08	+	1.40	5.53E-05	1.25E-04
CCR4-NOT complex (GO:0030014)	37	35	25.05	+	1.40	1.40E-04	3.01E-04
RNA polymerase II, holoenzyme (GO:0016591)	110	104	74.47	+	1.40	1.05E-11	4.37E-11
endopeptidase complex (GO:1905369)	110	104	74.47	+	1.40	1.05E-11	4.32E-11
catalytic step 2 spliceosome (GO:0071013)	91	86	61.61	+	1.40	6.87E-10	2.44E-09
peptidase complex (GO:1905368)	145	137	98.16	+	1.40	4.09E-15	1.99E-14
lytic vacuole membrane (GO:0098852)	18	17	12.19	+	1.40	1.15E-02	1.89E-02
proteasome accessory complex (GO:0022624)	54	51	36.56	+	1.40	3.11E-06	8.22E-06
proteasome regulatory particle (GO:0005838)	54	51	36.56	+	1.40	3.11E-06	8.16E-06
lysosomal membrane (GO:0005765)	18	17	12.19	+	1.40	1.15E-02	1.88E-02
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	36	34	24.37	+	1.40	2.27E-04	4.83E-04
preribosome, small subunit precursor (GO:0030688)	18	17	12.19	+	1.40	1.15E-02	1.88E-02
SWI/SNF superfamily-type complex (GO:0070603)	36	34	24.37	+	1.40	2.27E-04	4.80E-04
spliceosomal complex (GO:0005681)	215	203	145.55	+	1.39	1.65E-21	1.15E-20
chromosomal region (GO:0098687)	52	49	35.20	+	1.39	8.12E-06	2.02E-05
plastid membrane (GO:0042170)	204	192	138.11	+	1.39	6.32E-20	4.10E-19
actin cytoskeleton (GO:0015629)	136	128	92.07	+	1.39	9.85E-14	4.55E-13
microbody (GO:0042579)	84	79	56.87	+	1.39	6.87E-09	2.31E-08
peroxisome (GO:0005777)	84	79	56.87	+	1.39	6.87E-09	2.29E-08
ATPase complex (GO:1904949)	81	76	54.84	+	1.39	2.81E-08	8.59E-08
core mediator complex (GO:0070847)	16	15	10.83	+	1.38	2.94E-02	4.45E-02
oligosaccharyltransferase complex (GO:0008250)	16	15	10.83	+	1.38	2.94E-02	4.44E-02
proteasome complex (GO:0000502)	96	90	64.99	+	1.38	1.01E-09	3.52E-09
90S preribosome (GO:0030686)	63	59	42.65	+	1.38	1.12E-06	3.07E-06
plastid envelope (GO:0009526)	234	219	158.42	+	1.38	8.28E-22	5.89E-21
mitochondrial large ribosomal subunit (GO:0005762)	31	29	20.99	+	1.38	9.12E-04	1.76E-03
cullin-RING ubiquitin ligase complex (GO:0031461)	196	183	132.69	+	1.38	5.01E-18	2.99E-17
proton-transporting two-sector ATPase complex (GO:0016469)	45	42	30.46	+	1.38	7.82E-05	1.74E-04
chloroplast envelope (GO:0009941)	104	97	70.41	+	1.38	5.79E-10	2.12E-09
thylakoid (GO:0009579)	193	180	130.66	+	1.38	1.21E-17	7.11E-17
chloroplast thylakoid (GO:0009534)	177	165	119.83	+	1.38	3.08E-16	1.65E-15
protein acetyltransferase complex (GO:0031248)	59	55	39.94	+	1.38	4.33E-06	1.12E-05
plastid thylakoid (GO:0031976)	177	165	119.83	+	1.38	3.08E-16	1.63E-15
