




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	non_TAGs_high.txt (37331)	non_TAGs_high.txt (expected)	non_TAGs_high.txt (over/under)	non_TAGs_high.txt (fold Enrichment)	non_TAGs_high.txt (raw P-value)	non_TAGs_high.txt (FDR)
RNA cap binding (GO:0000339)	12	12	8.02	+	1.50	1.16E-02	2.23E-02
Hsp70 protein binding (GO:0030544)	15	15	10.03	+	1.50	4.09E-03	8.81E-03
identical protein binding (GO:0042802)	14	14	9.36	+	1.50	7.41E-03	1.48E-02
phosphatidylinositol-3-phosphate binding (GO:0032266)	14	14	9.36	+	1.50	7.41E-03	1.47E-02
organic cation transmembrane transporter activity (GO:0015101)	13	13	8.69	+	1.50	6.88E-03	1.40E-02
Hsp90 protein binding (GO:0051879)	16	16	10.69	+	1.50	2.34E-03	5.36E-03
heat shock protein binding (GO:0031072)	29	29	19.38	+	1.50	1.15E-05	4.40E-05
alpha-glucosidase activity (GO:0090599)	13	13	8.69	+	1.50	6.88E-03	1.40E-02
transcription factor binding (GO:0008134)	28	28	18.71	+	1.50	1.97E-05	7.26E-05
TBP-class protein binding (GO:0017025)	14	14	9.36	+	1.50	7.41E-03	1.47E-02
monoatomic anion transmembrane transporter activity (GO:0008509)	28	28	18.71	+	1.50	1.97E-05	7.21E-05
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	40	40	26.74	+	1.50	1.73E-07	8.02E-07
structural constituent of nuclear pore (GO:0017056)	20	20	13.37	+	1.50	4.72E-04	1.27E-03
poly(A) binding (GO:0008143)	25	25	16.71	+	1.50	5.64E-05	1.89E-04
translation initiation factor activity (GO:0003743)	88	87	58.82	+	1.48	2.38E-14	1.80E-13
galactosyltransferase activity (GO:0008378)	44	43	29.41	+	1.46	9.22E-07	3.94E-06
