




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	8	8	2.06	+	3.88	1.95E-05	5.56E-05
meiotic sister chromatid cohesion (GO:0051177)	8	8	2.06	+	3.88	1.95E-05	5.55E-05
glycerolipid catabolic process (GO:0046503)	4	4	1.03	+	3.88	4.41E-03	8.62E-03
regulation of cell population proliferation (GO:0042127)	4	4	1.03	+	3.88	4.41E-03	8.60E-03
mitochondrial respiratory chain complex III assembly (GO:0034551)	4	4	1.03	+	3.88	4.41E-03	8.59E-03
snRNA transcription by RNA polymerase II (GO:0042795)	4	4	1.03	+	3.88	4.41E-03	8.58E-03
intracellular lipid transport (GO:0032365)	8	8	2.06	+	3.88	1.95E-05	5.54E-05
tRNA 3'-end processing (GO:0042780)	4	4	1.03	+	3.88	4.41E-03	8.57E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	26	26	6.70	+	3.88	4.84E-16	4.09E-15
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	8	8	2.06	+	3.88	1.95E-05	5.53E-05
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	4	4	1.03	+	3.88	4.41E-03	8.56E-03
protein localization to kinetochore (GO:0034501)	4	4	1.03	+	3.88	4.41E-03	8.54E-03
sulfur compound catabolic process (GO:0044273)	8	8	2.06	+	3.88	1.95E-05	5.51E-05
cellular response to amino acid starvation (GO:0034198)	4	4	1.03	+	3.88	4.41E-03	8.53E-03
kinetochore assembly (GO:0051382)	4	4	1.03	+	3.88	4.41E-03	8.52E-03
