




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
phospholipase C activity (GO:0004629)	15	15	8.34	+	1.80	2.51E-04	6.07E-04
oxidoreductase activity, acting on metal ions (GO:0016722)	7	7	3.89	+	1.80	1.98E-02	3.29E-02
cyclin-dependent protein kinase activity (GO:0097472)	16	16	8.89	+	1.80	1.31E-04	3.30E-04
nitrate transmembrane transporter activity (GO:0015112)	7	7	3.89	+	1.80	1.98E-02	3.28E-02
hexokinase activity (GO:0004396)	28	28	15.56	+	1.80	7.66E-08	2.85E-07
microfilament motor activity (GO:0000146)	27	27	15.01	+	1.80	1.40E-07	4.80E-07
water transmembrane transporter activity (GO:0005372)	51	51	28.35	+	1.80	1.41E-13	8.13E-13
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	16	16	8.89	+	1.80	1.31E-04	3.28E-04
L-lysine transmembrane transporter activity (GO:0015189)	10	10	5.56	+	1.80	3.11E-03	6.42E-03
basic amino acid transmembrane transporter activity (GO:0015174)	10	10	5.56	+	1.80	3.11E-03	6.39E-03
long-chain fatty acid-CoA ligase activity (GO:0004467)	23	23	12.78	+	1.80	1.59E-06	5.03E-06
MAP kinase kinase kinase activity (GO:0004709)	29	29	16.12	+	1.80	8.01E-08	2.96E-07
L-glutamate transmembrane transporter activity (GO:0005313)	10	10	5.56	+	1.80	3.11E-03	6.37E-03
potassium channel activity (GO:0005267)	9	9	5.00	+	1.80	5.73E-03	1.10E-02
voltage-gated potassium channel activity (GO:0005249)	9	9	5.00	+	1.80	5.73E-03	1.10E-02
chitinase activity (GO:0004568)	36	36	20.01	+	1.80	8.61E-10	3.77E-09
peptide transmembrane transporter activity (GO:1904680)	18	18	10.01	+	1.80	3.62E-05	9.88E-05
metalloaminopeptidase activity (GO:0070006)	9	9	5.00	+	1.80	5.73E-03	1.10E-02
oligopeptide transmembrane transporter activity (GO:0035673)	18	18	10.01	+	1.80	3.62E-05	9.82E-05
amino acid transmembrane transporter activity (GO:0015171)	173	167	96.16	+	1.74	6.46E-35	8.81E-34
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	27	26	15.01	+	1.73	4.83E-06	1.49E-05
voltage-gated channel activity (GO:0022832)	26	25	14.45	+	1.73	8.92E-06	2.67E-05
sterol transporter activity (GO:0015248)	26	25	14.45	+	1.73	8.92E-06	2.65E-05
voltage-gated monoatomic ion channel activity (GO:0005244)	26	25	14.45	+	1.73	8.92E-06	2.64E-05
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	88	84	48.91	+	1.72	3.90E-17	2.82E-16
galactosyltransferase activity (GO:0008378)	44	42	24.46	+	1.72	4.93E-09	2.02E-08
ubiquitin conjugating enzyme activity (GO:0061631)	85	81	47.25	+	1.71	2.11E-16	1.46E-15
protein serine/threonine kinase activity (GO:0004674)	898	852	499.14	+	1.71	2.62E-158	1.83E-156
UDP-glucosyltransferase activity (GO:0035251)	148	140	82.26	+	1.70	1.53E-26	1.67E-25
acidic amino acid transmembrane transporter activity (GO:0015172)	17	16	9.45	+	1.69	9.11E-04	1.99E-03
P-type ion transporter activity (GO:0015662)	67	63	37.24	+	1.69	3.56E-12	1.90E-11
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	485	456	269.58	+	1.69	4.93E-81	1.10E-79
cytoskeletal motor activity (GO:0003774)	116	109	64.48	+	1.69	3.40E-20	2.98E-19
calmodulin binding (GO:0005516)	80	75	44.47	+	1.69	4.11E-14	2.46E-13
signaling receptor activity (GO:0038023)	112	105	62.25	+	1.69	3.31E-19	2.71E-18
protein kinase activity (GO:0004672)	1089	1020	605.30	+	1.69	2.11E-177	2.07E-175
protein serine/threonine phosphatase activity (GO:0004722)	142	133	78.93	+	1.69	4.85E-24	4.86E-23
DNA-binding transcription factor activity (GO:0003700)	1117	1046	620.87	+	1.68	7.99E-182	9.81E-180
gated channel activity (GO:0022836)	91	85	50.58	+	1.68	1.45E-15	9.61E-15
monooxygenase activity (GO:0004497)	240	224	133.40	+	1.68	5.57E-39	8.54E-38
glucosyltransferase activity (GO:0046527)	221	206	122.84	+	1.68	1.27E-35	1.83E-34
carboxylic acid transmembrane transporter activity (GO:0046943)	212	197	117.84	+	1.67	1.13E-33	1.46E-32
organic acid transmembrane transporter activity (GO:0005342)	212	197	117.84	+	1.67	1.13E-33	1.43E-32
cis-regulatory region sequence-specific DNA binding (GO:0000987)	492	457	273.47	+	1.67	3.17E-76	6.23E-75
ligand-gated channel activity (GO:0022834)	56	52	31.13	+	1.67	1.02E-09	4.33E-09
single-stranded DNA helicase activity (GO:0017116)	14	13	7.78	+	1.67	5.14E-03	9.98E-03
ligand-gated monoatomic ion channel activity (GO:0015276)	56	52	31.13	+	1.67	1.02E-09	4.29E-09
nucleoside diphosphate kinase activity (GO:0004550)	13	12	7.23	+	1.66	9.15E-03	1.67E-02
cyclin binding (GO:0030332)	13	12	7.23	+	1.66	9.15E-03	1.66E-02
hormone binding (GO:0042562)	51	47	28.35	+	1.66	1.57E-08	6.15E-08
microtubule motor activity (GO:0003777)	89	82	49.47	+	1.66	3.92E-14	2.37E-13
potassium ion transmembrane transporter activity (GO:0015079)	61	56	33.91	+	1.65	9.00E-10	3.88E-09
carbohydrate transmembrane transporter activity (GO:0015144)	72	66	40.02	+	1.65	3.02E-11	1.53E-10
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	488	446	271.25	+	1.64	1.50E-68	2.62E-67
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	92	84	51.14	+	1.64	1.07E-13	6.23E-13
molecular transducer activity (GO:0060089)	137	125	76.15	+	1.64	8.91E-20	7.54E-19
sugar transmembrane transporter activity (GO:0051119)	57	52	31.68	+	1.64	8.28E-09	3.33E-08
phospholipase activity (GO:0004620)	79	72	43.91	+	1.64	9.50E-12	4.96E-11
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	536	487	297.93	+	1.63	1.80E-72	3.40E-71
L-amino acid transmembrane transporter activity (GO:0015179)	43	39	23.90	+	1.63	7.38E-07	2.38E-06
UDP-glycosyltransferase activity (GO:0008194)	192	174	106.72	+	1.63	3.20E-26	3.34E-25
glutathione transferase activity (GO:0004364)	84	76	46.69	+	1.63	4.26E-12	2.25E-11
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	180	162	100.05	+	1.62	1.01E-23	9.89E-23
inorganic anion transmembrane transporter activity (GO:0015103)	39	35	21.68	+	1.61	5.92E-06	1.82E-05
transcription cis-regulatory region binding (GO:0000976)	793	711	440.78	+	1.61	1.12E-98	3.45E-97
transcription regulatory region nucleic acid binding (GO:0001067)	793	711	440.78	+	1.61	1.12E-98	3.24E-97
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	123	110	68.37	+	1.61	5.44E-16	3.66E-15
alcohol binding (GO:0043178)	65	58	36.13	+	1.61	8.92E-09	3.56E-08
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1339	1194	744.26	+	1.60	1.89E-161	1.54E-159
solute:proton symporter activity (GO:0015295)	27	24	15.01	+	1.60	3.15E-04	7.48E-04
solute:monoatomic cation symporter activity (GO:0015294)	27	24	15.01	+	1.60	3.15E-04	7.45E-04
symporter activity (GO:0015293)	27	24	15.01	+	1.60	3.15E-04	7.41E-04
organic anion transmembrane transporter activity (GO:0008514)	261	231	145.07	+	1.59	1.26E-30	1.48E-29
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	298	263	165.64	+	1.59	2.31E-34	3.07E-33
acetylglucosaminyltransferase activity (GO:0008375)	34	30	18.90	+	1.59	8.04E-05	2.08E-04
G protein-coupled receptor binding (GO:0001664)	17	15	9.45	+	1.59	6.27E-03	1.19E-02
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	279	246	155.08	+	1.59	3.98E-32	4.77E-31
transcription regulator activity (GO:0140110)	1298	1144	721.47	+	1.59	1.21E-145	7.46E-144
cysteine-type endopeptidase activity (GO:0004197)	125	110	69.48	+	1.58	6.41E-15	3.99E-14
chromatin DNA binding (GO:0031490)	82	72	45.58	+	1.58	4.36E-10	2.00E-09
sequence-specific double-stranded DNA binding (GO:1990837)	819	719	455.23	+	1.58	1.84E-89	5.01E-88
sequence-specific DNA binding (GO:0043565)	1253	1100	696.46	+	1.58	4.44E-137	2.18E-135
protein serine/threonine kinase activator activity (GO:0043539)	16	14	8.89	+	1.57	1.05E-02	1.89E-02
hexosyltransferase activity (GO:0016758)	360	314	200.10	+	1.57	1.80E-38	2.68E-37
lipase activity (GO:0016298)	117	102	65.03	+	1.57	3.57E-13	1.99E-12
glucosidase activity (GO:0015926)	85	74	47.25	+	1.57	8.64E-10	3.75E-09
