




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	8	8	2.06	+	3.88	1.95E-05	3.51E-05
cortical actin cytoskeleton (GO:0030864)	4	4	1.03	+	3.88	4.41E-03	6.23E-03
microtubule plus-end (GO:0035371)	8	8	2.06	+	3.88	1.95E-05	3.50E-05
spindle pole (GO:0000922)	4	4	1.03	+	3.88	4.41E-03	6.21E-03
organelle membrane contact site (GO:0044232)	4	4	1.03	+	3.88	4.41E-03	6.19E-03
early endosome (GO:0005769)	8	8	2.06	+	3.88	1.95E-05	3.48E-05
transcription factor TFIIH core complex (GO:0000439)	8	8	2.06	+	3.88	1.95E-05	3.46E-05
preribosome, large subunit precursor (GO:0030687)	32	32	8.25	+	3.88	1.41E-19	7.65E-19
guanyl-nucleotide exchange factor complex (GO:0032045)	8	8	2.06	+	3.88	1.95E-05	3.45E-05
SMN complex (GO:0032797)	8	8	2.06	+	3.88	1.95E-05	3.43E-05
cytochrome complex (GO:0070069)	9	9	2.32	+	3.88	5.01E-06	9.97E-06
trans-Golgi network transport vesicle (GO:0030140)	3	3	.77	+	3.88	1.71E-02	2.26E-02
transcription export complex 2 (GO:0070390)	6	6	1.55	+	3.88	2.93E-04	4.80E-04
EMC complex (GO:0072546)	21	21	5.41	+	3.88	4.28E-13	1.60E-12
Prp19 complex (GO:0000974)	21	21	5.41	+	3.88	4.28E-13	1.58E-12
DNA polymerase complex (GO:0042575)	19	19	4.90	+	3.88	6.45E-12	2.21E-11
rough endoplasmic reticulum membrane (GO:0030867)	11	11	2.84	+	3.88	3.33E-07	7.70E-07
endoplasmic reticulum tubular network (GO:0071782)	6	6	1.55	+	3.88	2.93E-04	4.78E-04
pICln-Sm protein complex (GO:0034715)	12	12	3.09	+	3.88	8.57E-08	2.10E-07
PcG protein complex (GO:0031519)	6	6	1.55	+	3.88	2.93E-04	4.76E-04
rough endoplasmic reticulum (GO:0005791)	11	11	2.84	+	3.88	3.33E-07	7.65E-07
epsilon DNA polymerase complex (GO:0008622)	6	6	1.55	+	3.88	2.93E-04	4.74E-04
COP9 signalosome (GO:0008180)	17	17	4.38	+	3.88	9.72E-11	2.92E-10
TRAPP complex (GO:0030008)	21	21	5.41	+	3.88	4.28E-13	1.57E-12
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	18	18	4.64	+	3.88	2.50E-11	7.92E-11
mitochondrial respiratory chain complex III (GO:0005750)	9	9	2.32	+	3.88	5.01E-06	9.92E-06
