Peptide_ID	Is_TAG
KRG88517	False
KRG88592	True
KRG88593	True
KRG88596	True
KRG88906	False
KRG89408	False
KRG89573	False
KRG89590	True
KRG89591	True
KRG89600	True
KRG89618	True
KRG89823	False
KRG90045	False
KRG90077	False
KRG90120	True
KRG90123	True
KRG90149	False
KRG90312	True
KRG90430	False
KRG93833	True
KRG93836	True
KRG93942	False
KRG94099	True
KRG94229	True
KRG94230	True
KRG94347	False
KRG94766	False
KRG98487	True
KRG98488	True
KRG98847	True
KRG98848	True
KRG98885	False
KRG99032	False
KRG99072	True
KRG99073	True
KRG99233	True
KRG99400	True
KRG99401	True
KRG99530	False
KRH04588	True
KRH04672	False
KRH04842	True
KRH04845	True
KRH04908	True
KRH04909	True
KRH04983	False
KRH05124	True
KRH07412	False
KRH07764	False
KRH07890	True
KRH07973	True
KRH08220	False
KRH12482	False
KRH12581	False
KRH12613	True
KRH12646	False
KRH12722	True
KRH12723	True
KRH12778	True
KRH12779	True
KRH12821	True
KRH12837	True
KRH12944	False
KRH13092	False
KRH13384	False
KRH13502	True
KRH13504	True
KRH15848	False
KRH16021	True
KRH16033	True
KRH16244	True
KRH16461	False
KRH16545	False
KRH16749	True
KRH17556	True
KRH17557	True
KRH17568	True
KRH17574	True
KRH17640	True
KRH17656	True
KRH17680	False
KRH17880	True
KRH17887	True
KRH17927	True
KRH17950	False
KRH17994	False
KRH18433	False
KRH18654	False
KRH19703	False
KRH20081	False
KRH25553	False
KRH25674	True
KRH26058	False
KRH26236	True
KRH26298	True
KRH26480	True
KRH26481	True
KRH30270	False
KRH30343	True
KRH30351	True
KRH30712	False
KRH31036	False
KRH32685	True
KRH32753	True
KRH32755	True
KRH32956	False
KRH32979	False
KRH33055	True
KRH33111	False
KRH33168	True
KRH33169	True
KRH33170	True
KRH33193	False
KRH33210	True
KRH33454	False
KRH33641	False
KRH37621	False
KRH37696	False
KRH37818	False
KRH37972	False
KRH38017	False
KRH38062	True
KRH38063	True
KRH38155	False
KRH38200	True
KRH38370	False
KRH38621	True
KRH38622	True
KRH44817	False
KRH44973	False
KRH45140	False
KRH45329	False
KRH45416	False
KRH45475	True
KRH45504	False
KRH45532	False
KRH48967	False
KRH49134	False
KRH49306	False
KRH49515	False
KRH49675	True
KRH49676	True
KRH49714	True
KRH49715	True
KRH49779	True
KRH49781	True
KRH49782	True
KRH54561	False
KRH54591	True
KRH54608	True
KRH54621	True
KRH54627	True
KRH54761	False
KRH55089	True
KRH55596	False
KRH55633	False
KRH57511	True
KRH57526	True
KRH57578	False
KRH57696	True
KRH57824	False
KRH57901	True
KRH57927	True
KRH62557	True
KRH62558	True
KRH62561	True
KRH62992	False
KRH63178	True
KRH63514	True
KRH63521	True
KRH63522	True
KRH63532	True
KRH65080	True
KRH65084	True
KRH65748	True
KRH65749	True
KRH65882	True
KRH65883	True
KRH66008	False
KRH66110	False
KRH66127	True
KRH66267	True
KRH66268	True
KRH66312	True
KRH66326	False
KRH66438	True
KRH66509	False
KRH66681	False
KRH70834	False
KRH71615	False
KRH71662	True
KRH71663	True
KRH71787	False
KRH71883	True
KRH71884	True
KRH71926	False
KRH74994	False
KRH75148	False
KRH75224	True
KRH75258	True
KRH75259	True
KRH75357	False
KRH75578	False
KRH76030	True
KRH76037	True
KRH76070	False
KRH76154	False
